,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
929,RO101081162,,,Panama,RO10108116,,RO10108116,2,RO Approved,GSC,,RDC,Air,Other Non-Pharma,IT Equipment,103810XUZ01S2BN,"Digital Camera, 20.3 mpx, 172 mm Lens and Filter Adapter, LCD Screen, 8 GB SD Card, w/ Card Reader, 1 Each                      ",UNT,Each,1.0,,,0.299,KGM             ,MSA-007,,,,,N,Canon Inc,"30-2 Shimomaruko 3-chome, Ohta-ku, Ohta-ku, Tokyo, Japan",JP,INNOVATIVE TECHNOLOGIES PVT LTD,South Africa,,FAS,4700.0,4700.0,10.0,47000.0,,0.0,,,,N,N,N,,,,,,,0,Undelivered - Late,,,,,,2020-08-11,2020,2020-08,2020,2020-Q4,2020-07-29,2020,2020-07,2020,2020-Q4,2020-07-31,2020,2020-07,2020,2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2667,Replenishment OrdersIO100163911,OTHER,OTHER,Senegal,Replenishment Orders,IO10016391,IO10016391,1,Draft Order Created,GSC,Replenishment Order,Direct Drop,,Pediatric ARV,HIV/AIDS Pharmaceuticals,102006AAG07G2GM,"Raltegravir 25 mg Chewable Tablet, 60 Tablets                                                                                   ",BOT,Tablet,60.0,,,,KGM             ,,,,,,N,Patheon Pharmaceuticals Inc.,"2110 E. Galbraith Road, Cincinnati, Ohio, United States 45237",US,"Merck, Sharp + Dohme Idea AG",,,,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-11,2020,2020-08,2020,2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3509,RO101081751,,,Panama,RO10108175,,RO10108175,1,Pending PSM Source Processing,GSC,,Direct Drop,,COVID19,Respiratory Support,104860XUZ01S,"(COVID-19) Model EMV + PORTABLE VENTILATOR, 731 SERIES - S. AMERICA [800-EVMP-01-23], 1 Each                                    ",UNT,Each,1.0,,,,,MSA-011,,,,,Y,,,,,,,DAP,12191.69,12191.69,50.0,609584.5,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-03,2020,2020-08,2020,2020-Q4,2020-08-04,2020,2020-08,2020,2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
6445,RO101081752,,,Panama,RO10108175,,RO10108175,2,Pending PSM Source Processing,GSC,,Direct Drop,,COVID19,Respiratory Support,104790XUZ0B4,"(COVID-19) Adult Disposable Circuit, EMV+, AEV, Eagle II, 6 Ft., Single-Use [820-0106-15], 15 Each                              ",CAS,Each,15.0,,,,,MSA-011,,,,,Y,,,,,,,DAP,168.19,168.19,14.0,2354.66,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-03,2020,2020-08,2020,2020-Q4,2020-08-04,2020,2020-08,2020,2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
6728,RO101081822,,,Eswatini,RO10108182,,RO10108182,2,RFx Bid Evaluation,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100044ABC07G,"Ritonavir 100 mg Film-Coated Tablet, 60 Tablets                                                                                 ",BOT,Tablet,60.0,,,,,MSA-010,,,,,N,,,,,,,DDP,6.85,6.85,900.0,6165.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-04,2020,2020-08,2020,2020-Q4,2021-01-01,2021,2021-01,2021,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
7664,RO101062032,,,Eswatini,RO10106203,,RO10106203,2,Pending PSM Source Processing,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100044ABC07G,"Ritonavir 100 mg Film-Coated Tablet, 60 Tablets                                                                                 ",BOT,Tablet,60.0,,,,,MSA-010,,,,,N,,,,,,,DDP,6.85,6.85,900.0,6165.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-07-14,2020,2020-07,2020,2020-Q4,2021-01-01,2021,2021-01,2021,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8331,RO10108172PO100163471,OTHER,OTHER,Panama,RO10108172,PO10016347,PO10016347,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Air,COVID19,Respiratory Support,104860XUZ01S34E,"(COVID-19) Model EMV + PORTABLE VENTILATOR, 731 SERIES - S. AMERICA [800-EVMP-01-23], 1 Each                                    ",UNT,Each,1.0,,,,KGM             ,MSA-011,,,,,Y,Zoll Medical Corporation,"269 Mill Road, Chelmsford, Massachusetts, United States 01824",US,Zoll Medical Corporation,United States,FCA,DAP,12191.69,12191.69,50.0,609584.5,50.0,0.0,609584.5,10564.8,Y,N,N,N,Not On Time In Full,Not On Time In Full,Not On Time In Full,<-14,-102.0,1.0,2,Delivered - Early,2020-11-24,2020,2020-11,2021,2021-Q1,2020-11-24,2020,2020-11,2021,2021-Q1,2020-08-03,2020,2020-08,2020,2020-Q4,2020-08-04,2020,2020-08,2020,2020-Q4,2020-08-16,2020,2020-08,2020,2020 Q4,2020-08-14,2020,2020-08,2020,2020-Q4,,,,2020-08-04,2020-08-04,2020-08-04,2020-08-11,2020,2020-08,2020,2020-Q4,2020-08-07,2020-08-07,2020-08-05,,2020-08-07,2020-08-11,2020-08-11,2020-08-14,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7.0,-4.0,0.0,7.0,,,,,
11676,Replenishment OrdersIO100173443,OTHER,OTHER,Belgium,Replenishment Orders,IO10017344,IO10017344,3,Draft Order Created,GSC,Replenishment Order,Direct Drop,,Pediatric ARV,HIV/AIDS Pharmaceuticals,104216AAK07G3L6,"Dolutegravir 5 mg Dispersible Tablet, 60 Tablets                                                                                ",BOT,Tablet,60.0,,,,KGM             ,,,,,,N,ViiV Healthcare,"Glaxo Operations UK Ltd, Priory Street, Ware SG120DJ, Released at Glaxo Wellcome S.A., Avenida Extremadura No.3, 09400, Aranda De Duero, Burgos, Spain,",ES,ViiV Healthcare,British Virgin Islands,,,0.0,0.0,33028.0,0.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-10-30,2020,2020-10,2021,2021-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
14914,RO101082811,,,Eswatini,RO10108281,,RO10108281,1,RFx Bid Evaluation,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100044ABC07G,"Ritonavir 100 mg Film-Coated Tablet, 60 Tablets                                                                                 ",BOT,Tablet,60.0,,,,,MSA-010,,,,,N,,,,,,,DDP,6.85,6.85,900.0,6165.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-12,2020,2020-08,2020,2020-Q4,2021-01-01,2021,2021-01,2021,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
15642,RO101082801,,,Eswatini,RO10108280,,RO10108280,1,RFx Bid Evaluation,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100106AAA07G,"Darunavir 600 mg Tablet, 60 Tablets                                                                                             ",BOT,Tablet,60.0,,,,,MSA-010,,,,,N,,,,,,,DDP,54.0,54.0,3462.0,186948.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-12,2020,2020-08,2020,2020-Q4,2021-01-01,2021,2021-01,2021,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
17019,Replenishment OrdersIO100174032,OTHER,OTHER,Belgium,Replenishment Orders,IO10017403,IO10017403,2,Shipment Delivered,GSC,Replenishment Order,Direct Drop,Land,Pediatric ARV,HIV/AIDS Pharmaceuticals,104216AAK07G3L6,"Dolutegravir 5 mg Dispersible Tablet, 60 Tablets                                                                                ",BOT,Tablet,60.0,,,,KGM             ,311MISSION,,,,,Y,ViiV Healthcare,"Glaxo Operations UK Ltd, Priory Street, Ware SG120DJ, Released at Glaxo Wellcome S.A., Avenida Extremadura No.3, 09400, Aranda De Duero, Burgos, Spain,",ES,ViiV Healthcare,British Virgin Islands,FCA,,32.467532,32.467532,33038.0,1072662.32,33038.0,0.0,1072662.32,,Y,N,N,N,Not On Time In Full,Not On Time In Full,Not On Time In Full,<-14,-31.0,1.0,2,Delivered - Early,2021-01-04,2021,2021-01,2021,2021-Q2,2021-01-04,2021,2021-01,2021,2021-Q2,2020-11-04,2020,2020-11,2021,2021-Q1,2021-01-04,2021,2021-01,2021,2021-Q2,2020-12-04,2020,2020-12,2021,2021 Q1,2020-12-04,2020,2020-12,2021,2021-Q1,,,,,,,2020-11-24,2020,2020-11,2021,2021-Q1,2020-12-10,2020-12-03,2020-11-23,,,2020-12-02,2020-12-02,2020-12-04,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,,,,SD000,AGAD added,CHANGE_ORDER_DATE,
17227,RO101083561,,,Eswatini,RO10108356,,RO10108356,1,Pending PSM Source Processing,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100044ABC07G,"Ritonavir 100 mg Film-Coated Tablet, 60 Tablets                                                                                 ",BOT,Tablet,60.0,,,,,MSA-010,,,,,N,,,,,,,DDP,6.85,6.85,900.0,6165.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-08-18,2020,2020-08,2020,2020-Q4,2021-01-01,2021,2021-01,2021,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
17273,RO101062031,,,Eswatini,RO10106203,,RO10106203,1,Pending PSM Source Processing,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100106AAA07G,"Darunavir 600 mg Tablet, 60 Tablets                                                                                             ",BOT,Tablet,60.0,,,,,MSA-010,,,,,N,,,,,,,DDP,54.0,54.0,3462.0,186948.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2020-07-14,2020,2020-07,2020,2020-Q4,2021-01-01,2021,2021-01,2021,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
