,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
28,RO10076168RO10076168_12,TO3,TO3,Guinea,RO10076168,RO10076168_1,RO10076168,2,Shipment Delivered,GSC,Distribution Order,RDC,Air,Progestin Only Pills,Oral Contraceptives,100025AOB09W08V,"Levonorgestrel 30 mcg 35 Tablets/Cycle, 1 Cycle                                                                                 ",UNT,Cycle,1.0,7.361e-05,CBM,0.00778,KGM             ,317MISSION,,,,,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.3,0.3,42480.0,12744.0,42480.0,0.0,12744.0,4735.93,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-02-04,2020,2020-02,2020,2020-Q2,2019-12-20,2019,2019-12,2020,2020-Q1,2019-05-06,2019,2019-05,2019,2019-Q3,2019-10-30,2019,2019-10,2020,2020-Q1,2019-12-18,2019,2019-12,2020,2020 Q1,2019-12-20,2019,2019-12,2020,2020-Q1,,,2019-08-07,2019-07-24,2019-11-04,2019-11-05,2019-11-05,2019,2019-11,2020,2020-Q1,2019-11-08,,2019-11-12,,2019-12-09,2019-12-11,2019-12-11,2019-12-20,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,7.0,27.0,11.0,,AD012,"RDD is 10/30; ADD 2/4/2020, initial ldtime incl additional weeks to avoid delivering in the blckt period&during global supply shortage of Bayer. Bayer could release pdts earlier & PSM prioritized all steps to deliver bef blackout period",AGREED_DELIVERY_DATE,-46.0
130,RO10074145RO10074145_12,TO3,TO3,Senegal,RO10074145,RO10074145_1,RO10074145,2,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100031GNE06D03X,"Depot (SC) Medroxyprogesterone Acetate 104 mg/0.65 mL, Pre-Filled Uniject Device, 1 Syringe                                     ",UNT,Syringe,1.0,7.5e-05,CBM,0.00521,KGM             ,317MISSION,,,,,Y,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DDP,0.85,0.85,23600.0,20060.0,23600.0,0.0,20060.0,2074.3,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-9.0,1.0,2,Delivered - On Time,2020-04-27,2020,2020-04,2020,2020-Q3,2020-03-20,2020,2020-03,2020,2020-Q2,2019-04-09,2019,2019-04,2019,2019-Q3,2020-03-30,2020,2020-03,2020,2020-Q2,2020-03-08,2020,2020-03,2020,2020 Q2,2020-03-11,2020,2020-03,2020,2020-Q2,,,,2019-11-26,2019-12-02,2019-12-02,2020-02-06,2020,2020-02,2020,2020-Q2,2020-02-11,,2020-02-12,,2020-03-04,2020-03-07,2020-03-07,2020-03-11,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,66.0,6.0,21.0,7.0,,AD012,"needed asap in country to avoid stockout; RDD is 3/30, original ADD was 4/27, Goods were made available early and waiver obtained promptly",AGREED_DELIVERY_DATE,-38.0
326,RO10082137RO10082137_323,TO3,TO3,Congo DRC,RO10082137,RO10082137_3,RO10082137,23,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,4400.0,3872.0,4400.0,0.0,3872.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-04-28,2020,2020-04,2020,2020-Q3,2020-03-07,2020,2020-03,2020,2020-Q2,2019-09-10,2019,2019-09,2019,2019-Q4,2019-12-31,2019,2019-12,2020,2020-Q1,2020-02-15,2020,2020-02,2020,2020 Q2,2020-03-07,2020,2020-03,2020,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019,2019-10,2020,2020-Q1,2019-10-16,,2019-10-16,,2020-02-06,2020-02-13,2020-02-13,2020-03-07,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,7.0,113.0,30.0,,AD012,"RDD is 12/31/2019, ADD was 4/28; the waiver was received earlier than expected so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-52.0
522,RO10082136RO10082136_314,TO3,TO3,Congo DRC,RO10082136,RO10082136_3,RO10082136,14,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100031GNE06D03X,"Depot (SC) Medroxyprogesterone Acetate 104 mg/0.65 mL, Pre-Filled Uniject Device, 1 Syringe                                     ",UNT,Syringe,1.0,7.5e-05,CBM,0.00521,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.85,0.85,30000.0,25500.0,30000.0,0.0,25500.0,6190.36,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-07-22,2020,2020-07,2020,2020-Q4,2020-04-08,2020,2020-04,2020,2020-Q3,2019-09-10,2019,2019-09,2019,2019-Q4,2019-12-31,2019,2019-12,2020,2020-Q1,2020-03-06,2020,2020-03,2020,2020 Q2,2020-04-08,2020,2020-04,2020,2020-Q3,,,2019-10-08,2019-10-11,2019-10-11,2019-10-16,2019-12-03,2019,2019-12,2020,2020-Q1,2019-12-09,,2019-12-05,,2020-02-26,2020-02-27,2020-02-27,2020-04-08,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,48.0,2.0,83.0,42.0,,AD012,"""RDD is 12/31/2019, original ADD was 7/22/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD.""",AGREED_DELIVERY_DATE,-105.0
615,RO10082137RO10082137_126,TO3,TO3,Congo DRC,RO10082137,RO10082137_1,RO10082137,26,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,6000.0,5280.0,6000.0,0.0,5280.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-04-28,2020,2020-04,2020,2020-Q3,2020-03-05,2020,2020-03,2020,2020-Q2,2019-09-10,2019,2019-09,2019,2019-Q4,2019-12-31,2019,2019-12,2020,2020-Q1,2020-02-15,2020,2020-02,2020,2020 Q2,2020-03-05,2020,2020-03,2020,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019,2019-10,2020,2020-Q1,2019-10-16,,2019-10-16,,2020-02-06,2020-02-13,2020-02-13,2020-03-05,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,7.0,113.0,28.0,,AD012,"RDD is 12/31/2019, ADD was 4/28; the waiver was received earlier than expected so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-54.0
726,RO10065225RO10065225_12,TO3,TO3,Mozambique,RO10065225,RO10065225_1,RO10065225,2,Shipment Delivered,GSC,Distribution Order,RDC,Air,Progestin Only Pills,Oral Contraceptives,100025AOB09W08V,"Levonorgestrel 30 mcg 35 Tablets/Cycle, 1 Cycle                                                                                 ",UNT,Cycle,1.0,7.361e-05,CBM,0.00778,KGM             ,317MISSION,,,,,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.3,0.3,76320.0,22896.0,76320.0,0.0,22896.0,8320.25,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-2.0,1.0,2,Delivered - On Time,2020-03-31,2020,2020-03,2020,2020-Q2,2020-02-19,2020,2020-02,2020,2020-Q2,2018-10-23,2018,2018-10,2019,2019-Q1,2020-03-31,2020,2020-03,2020,2020-Q2,2020-02-02,2020,2020-02,2020,2020 Q2,2020-02-17,2020,2020-02,2020,2020-Q2,,2018-10-24,,2019-10-11,2019-10-14,2019-10-21,2019-11-15,2019,2019-11,2020,2020-Q1,2019-11-22,,2019-11-21,,2020-01-29,2020-01-31,2020-01-31,2020-02-17,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.0,7.0,25.0,6.0,69.0,19.0,,AD012,"pre-shipment inspection was not longer needed for this cargo, so PSM could deliver earlier; the country was interested in receiving products earlier than the initial RDD (3/31)/ADD (3/31)",AGREED_DELIVERY_DATE,-41.0
754,RO10083258RO10083258_12,TO3,TO3,Ghana,RO10083258,RO10083258_1,RO10083258,2,Shipment Delivered,GSC,Distribution Order,RDC,Air,Implantable Contraceptives,Contraceptive Implants,100129GYV01S04G,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,0.00038889,CBM,0.0625,KGM             ,317MISSION,,,,,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, The Netherlands",NL,"Merck, Sharp + Dohme B.V.",Belgium,,DDP,8.5,8.5,44064.0,374544.0,44064.0,0.0,374544.0,26932.7,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,1.0,1.0,2,Delivered - On Time,2020-09-22,2020,2020-09,2020,2020-Q4,2020-08-20,2020,2020-08,2020,2020-Q4,2019-10-07,2019,2019-10,2020,2020-Q1,2020-01-16,2020,2020-01,2020,2020-Q2,2020-08-19,2020,2020-08,2020,2020 Q4,2020-08-21,2020,2020-08,2020,2020-Q4,2019-10-15,2019-10-15,,2020-05-26,2020-05-28,2020-06-02,2020-06-03,2020,2020-06,2020,2020-Q3,2020-06-08,,2020-06-08,,2020-08-11,2020-08-13,2020-08-13,2020-08-21,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,226.0,5.0,1.0,5.0,64.0,10.0,,AD012,"Central inventory was available, and DO was released earlier than initially planned to mitigate potential logistics delays due to covid-19.
AD code was corrected from AD070 to AD012",AGREED_DELIVERY_DATE,-1.0
804,RO10090207RO10090207_111,TO3,TO3,Congo DRC,RO10090207,RO10090207_1,RO10090207,11,Shipment Delivered,GSC,Distribution Order,RDC,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,30000.0,26400.0,30000.0,0.0,26400.0,3963.87,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-10-12,2020,2020-10,2021,2021-Q1,2020-09-18,2020,2020-09,2020,2020-Q4,2020-03-10,2020,2020-03,2020,2020-Q2,2020-04-01,2020,2020-04,2020,2020-Q3,2020-08-19,2020,2020-08,2020,2020 Q4,2020-09-18,2020,2020-09,2020,2020-Q4,,,,2020-03-18,2020-03-18,2020-03-23,2020-04-22,2020,2020-04,2020,2020-Q3,2020-04-27,,2020-06-22,,2020-07-09,2020-07-05,2020-07-05,2020-09-18,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,30.0,61.0,17.0,71.0,,AD012,"""RDD is 4/1/2020, original ADD was 10/12/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD""",AGREED_DELIVERY_DATE,-24.0
918,RO10082136RO10082136_516,TO3,TO3,Congo DRC,RO10082136,RO10082136_5,RO10082136,16,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100031GNE06D03X,"Depot (SC) Medroxyprogesterone Acetate 104 mg/0.65 mL, Pre-Filled Uniject Device, 1 Syringe                                     ",UNT,Syringe,1.0,7.5e-05,CBM,0.00521,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.85,0.85,25000.0,21250.0,25000.0,0.0,21250.0,8666.49,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-07-22,2020,2020-07,2020,2020-Q4,2020-04-21,2020,2020-04,2020,2020-Q3,2019-09-10,2019,2019-09,2019,2019-Q4,2019-12-31,2019,2019-12,2020,2020-Q1,2020-03-06,2020,2020-03,2020,2020 Q2,2020-04-21,2020,2020-04,2020,2020-Q3,,,2019-10-08,2019-10-11,2019-10-11,2019-10-16,2019-12-03,2019,2019-12,2020,2020-Q1,2019-12-09,,2019-12-05,,2020-02-26,2020-02-27,2020-02-27,2020-04-21,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,48.0,2.0,83.0,55.0,,AD012,"erroneously entered the new ADD as 4/10 instead of 4/21.
RDD is 12/31/2019, original ADD was 7/22/2020 Waiver was obtained earlier than expected so PSM can deliver closer to the RDD",AGREED_DELIVERY_DATE,11.0
940,RO10082156RO10082156_12,TO3,TO3,Mozambique,RO10082156,RO10082156_1,RO10082156,2,Partially Delivered,GSC,Distribution Order,RDC,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W04D,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,7.5e-05,CBM,0.00927,KGM             ,317MISSION,,,,,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.26,0.26,483120.0,125611.2,479520.0,0.0,124675.2,,N,Y,Y,Y,On Time Not In Full,On Time Not In Full,On Time Not In Full,,0.0,1.0,2,Delivered - On Time,2020-10-01,2020,2020-10,2021,2021-Q1,2020-08-25,2020,2020-08,2020,2020-Q4,2019-09-11,2019,2019-09,2019,2019-Q4,2020-09-30,2020,2020-09,2020,2020-Q4,2020-09-01,2020,2020-09,2020,2020 Q4,2020-08-25,2020,2020-08,2020,2020-Q4,2019-09-12,2019-09-12,2019-09-19,2020-04-06,2020-04-08,2020-04-09,2020-05-14,2020,2020-05,2020,2020-Q3,2020-05-19,,,,2020-06-05,,,2020-08-25,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.0,1.0,35.0,,,81.0,,AD012,"RDD is 9/30, original ADD was 10/1.
Since Bayer could make supply available earlier, PSM proposed an early delivery to the country.",AGREED_DELIVERY_DATE,-37.0
