,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
5929,RO101182342,TO3,TO3,Nepal,RO10118234,,RO10118234,2,RO Sent to Plan for Fulfillment Option,GSC,,RDC,Air,Implantable Contraceptives,Contraceptive Implants,100130GYV01S08P,"Levonorgestrel 75 mg/Rod w/ Trocar, 5 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,0.00014199999999999998,CBM,0.0217,KGM             ,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,Bayer Schering Pharma Oy,"Pansiontie 47, FI-20210, Turku, Finland",FI,Bayer AG,Belgium,,DDP,8.5,8.5,2000.0,17000.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-02-02,2021,2021-02,2021,2021-Q2,2021-03-01,2021,2021-03,2021,2021-Q2,,,,,,,,,,,,2021-02-04,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,
13410,RO10118176PO100181961,TO3,TO1,Burkina Faso,RO10118176,PO10018196,PO10018196,1,Order Awaiting Tech Pack Approval,GSC,Purchase Order,Direct Drop,Sea,Condoms,Male Condoms,100128XXA0H90AH,"Male Condom (Latex) Lubricated, No Logo, 53 mm, 4320 Pieces                                                                     ",CAS,Piece,4320.0,0.52,CBM,10.52,KGM             ,,HIV/AIDS,Mission Commodity Funding,WARO Population Condoms TO1,,N,Thai Nippon Rubber Industry Ltd.,"Factory 2 - Pinthong Industrial Estate, 789/139 Moo 1 Nonghkam, Sriracha, Chonbury, Thailand 20110",TH,Thai Nippon Rubber Industry Ltd.,Thailand,FCA,DAP,125.0,125.0,504.0,63000.0,,0.0,,,,,,,,,,,,,0,Undelivered,2021-07-27,2021,2021-07,2021,2021-Q4,2021-07-27,2021,2021-07,2021,2021-Q4,2021-01-22,2021,2021-01,2021,2021-Q2,2021-03-31,2021,2021-03,2021,2021-Q2,2021-06-30,2021,2021-06,2021,2021 Q3,,,,,,,,,2021-02-08,2021-02-09,2021-02-09,,,,,,2021-03-05,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,
17803,RO101183132,TO3,TO3,Burundi,RO10118313,,RO10118313,2,RO Sent to Plan for Fulfillment Method Decision,GSC,,Direct Drop,,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,,,,,,,DDP,0.26,0.26,190800.0,49608.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-02-09,2021,2021-02,2021,2021-Q2,2021-12-31,2021,2021-12,2022,2022-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
18976,RO101181401,TO3,TO3,Senegal,RO10118140,,RO10118140,1,RO on Hold – Pre-RFx/Pre-Allocation Stage,GSC,,Direct Drop,,Injectable Contraceptives,Injectable Contraceptives,100031GNE06D,"Depot (SC) Medroxyprogesterone Acetate 104 mg/0.65 mL, Pre-Filled Uniject Device, 1 Syringe                                     ",UNT,Syringe,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,,,N,,,,,,,DAP,0.85,0.85,37800.0,32130.0,,0.0,,,,,,,,,,,,,0,On Hold,,,,,,,,,,,2021-01-15,2021,2021-01,2021,2021-Q2,2021-12-31,2021,2021-12,2022,2022-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,,,,,,,,,,,,
19331,RO101181793,TO3,TO3,Afghanistan,RO10118179,,RO10118179,3,Sourcing Order Item Split,GSC,,Direct Drop,,Combined Oral Contraceptives,Oral Contraceptives,100050AOC09W,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (SM), 1 Cycle                                          ",UNT,Cycle,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,,,,,,,DAP,0.26,0.26,1.0,0.26,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-01-22,2021,2021-01,2021,2021-Q2,2021-04-30,2021,2021-04,2021,2021-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
19976,RO101181792,TO3,TO3,Afghanistan,RO10118179,,RO10118179,2,Sourcing Order Item Split,GSC,,Direct Drop,,Combined Oral Contraceptives,Oral Contraceptives,100050AOC09W,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (SM), 1 Cycle                                          ",UNT,Cycle,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,,,,,,,DAP,0.26,0.26,3000000.0,780000.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-01-22,2021,2021-01,2021,2021-Q2,2021-04-30,2021,2021-04,2021,2021-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
20569,RO101182901,TO3,TO3,Malawi,RO10118290,,RO10118290,1,RO Submitted for Clarification,GSC,,Direct Drop,,Injectable Contraceptives,Injectable Contraceptives,100031GNE06D,"Depot (SC) Medroxyprogesterone Acetate 104 mg/0.65 mL, Pre-Filled Uniject Device, 1 Syringe                                     ",UNT,Syringe,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,Y,,,,,,,DDP,0.85,0.85,700000.0,595000.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-02-08,2021,2021-02,2021,2021-Q2,2021-06-01,2021,2021-06,2021,2021-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
21293,RO101182442,TO3,TO3,Nepal,RO10118244,,RO10118244,2,RO Sent to Plan for Fulfillment Option,GSC,,RDC,Air,Copper-Bearing Intrauterine Devices,Intrauterine Devices ,100124TYR0EQ02L,"Copper TCu380A Intrauterine Device, 300 Each                                                                                    ",PKG,Each,300.0,0.047,CBM,8.38028,KGM             ,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,Pregna International Ltd.,"Damam, India",IN,Pregna International Ltd.,United Arab Emirates,,DDP,135.0,135.0,7.0,945.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-02-02,2021,2021-02,2021,2021-Q2,2021-03-01,2021,2021-03,2021,2021-Q2,,,,,,,,,,,,2021-02-04,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,
22216,RO101182121,TO3,TO3,Uganda,RO10118212,,RO10118212,1,RO Sent to Plan for Fulfillment Option,GSC,,Direct Drop,,Implantable Contraceptives,Contraceptive Implants,100130GYV01S,"Levonorgestrel 75 mg/Rod w/ Trocar, 5 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,,,,,,,DDP,8.5,8.5,81300.0,691050.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-01-28,2021,2021-01,2021,2021-Q2,2021-10-31,2021,2021-10,2022,2022-Q1,,,,,,,,,,,2021-02-03,2021-02-03,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,
29859,RO101183131,TO3,TO3,Burundi,RO10118313,,RO10118313,1,RO Sent to Plan for Fulfillment Method Decision,GSC,,Direct Drop,,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,,,,,,Mission Commodity Funding,Family Planning and Reproduction,Population TO3,,N,,,,,,,DDP,0.26,0.26,271440.0,70574.4,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-02-09,2021,2021-02,2021,2021-Q2,2021-07-30,2021,2021-07,2021,2021-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
