,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
326,RO10082137RO10082137_323,TO3,TO3,Congo DRC,RO10082137,RO10082137_3,RO10082137,23,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,4400.0,3872.0,4400.0,0.0,3872.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-04-28,2020,2020-04,2020,2020-Q3,2020-03-07,2020,2020-03,2020,2020-Q2,2019-09-10,2019,2019-09,2019,2019-Q4,2019-12-31,2019,2019-12,2020,2020-Q1,2020-02-15,2020,2020-02,2020,2020 Q2,2020-03-07,2020,2020-03,2020,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019,2019-10,2020,2020-Q1,2019-10-16,,2019-10-16,,2020-02-06,2020-02-13,2020-02-13,2020-03-07,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,7.0,113.0,30.0,,AD012,"RDD is 12/31/2019, ADD was 4/28; the waiver was received earlier than expected so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-52.0
441,RO10072117PO100112002,TO3,TO3,Afghanistan,RO10072117,PO10011200,PO10011200,2,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOC09W2E7,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (SM), 1 Cycle                                          ",UNT,Cycle,1.0,,,,KGM             ,317MISSION,,,,,N,Mylan Laboratories Limited,"Plot 1606 to 1609 G.I.D.C., Sarigam, India",IN,Mylan laboratories Limited,India,FCA,DAP,0.28,0.28,600048.0,168013.44,600048.0,0.0,168013.44,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-3.0,1.0,2,Delivered - On Time,2019-11-11,2019,2019-11,2020,2020-Q1,2020-05-01,2020,2020-05,2020,2020-Q3,2019-03-20,2019,2019-03,2019,2019-Q2,2019-03-25,2019,2019-03,2019,2019-Q2,2019-12-30,2019,2019-12,2020,2020 Q1,2020-04-28,2020,2020-04,2020,2020-Q3,,,,2019-03-20,2019-03-25,2019-03-25,2019-04-29,2019,2019-04,2019,2019-Q3,2019-06-30,2019-07-21,2019-09-13,,2019-12-04,2019-11-07,2019-11-07,2020-04-28,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,35.0,83.0,136.0,146.0,,AD050,"the 1st line of this RO faced a spate of pbs: unpredictable waiver times, political tensions and infrastructures btw India & Pakistan. So USAiD DC approved that the ADD of this 2nd line was changed to 2099, to be updated w/ actual delivery date.",AGREED_DELIVERY_DATE,-28734.0
615,RO10082137RO10082137_126,TO3,TO3,Congo DRC,RO10082137,RO10082137_1,RO10082137,26,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,6000.0,5280.0,6000.0,0.0,5280.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-04-28,2020,2020-04,2020,2020-Q3,2020-03-05,2020,2020-03,2020,2020-Q2,2019-09-10,2019,2019-09,2019,2019-Q4,2019-12-31,2019,2019-12,2020,2020-Q1,2020-02-15,2020,2020-02,2020,2020 Q2,2020-03-05,2020,2020-03,2020,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019,2019-10,2020,2020-Q1,2019-10-16,,2019-10-16,,2020-02-06,2020-02-13,2020-02-13,2020-03-05,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,7.0,113.0,28.0,,AD012,"RDD is 12/31/2019, ADD was 4/28; the waiver was received earlier than expected so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-54.0
940,RO10082156RO10082156_12,TO3,TO3,Mozambique,RO10082156,RO10082156_1,RO10082156,2,Partially Delivered,GSC,Distribution Order,RDC,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W04D,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,7.5e-05,CBM,0.00927,KGM             ,317MISSION,,,,,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.26,0.26,483120.0,125611.2,479520.0,0.0,124675.2,,N,Y,Y,Y,On Time Not In Full,On Time Not In Full,On Time Not In Full,,0.0,1.0,2,Delivered - On Time,2020-10-01,2020,2020-10,2021,2021-Q1,2020-08-25,2020,2020-08,2020,2020-Q4,2019-09-11,2019,2019-09,2019,2019-Q4,2020-09-30,2020,2020-09,2020,2020-Q4,2020-09-01,2020,2020-09,2020,2020 Q4,2020-08-25,2020,2020-08,2020,2020-Q4,2019-09-12,2019-09-12,2019-09-19,2020-04-06,2020-04-08,2020-04-09,2020-05-14,2020,2020-05,2020,2020-Q3,2020-05-19,,,,2020-06-05,,,2020-08-25,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.0,1.0,35.0,,,81.0,,AD012,"RDD is 9/30, original ADD was 10/1.
Since Bayer could make supply available earlier, PSM proposed an early delivery to the country.",AGREED_DELIVERY_DATE,-37.0
985,RO10090221PO100162873,TO3,TO3,Bangladesh,RO10090221,PO10016287,PO10016287,3,Shipment Delivered,GSC,Purchase Order,Direct Drop,Land,Injectable Contraceptives,Injectable Contraceptives,100125GPA08P32Y,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, SR, 1 Vial                                                        ",UNT,Vial,1.0,5e-05,CBM,0.0125,KGM             ,317MISSION,,,,,N,Incepta Pharmaceuticals Ltd,"Unit 1, Injectable Potent Drug (IPD) Krishnapura, Sahabelishor, Dhamrai, Dhaka, Bangladesh",BD,Incepta Pharmaceuticals Ltd,Bangladesh,DDP,DAP,0.53,0.53,301320.0,159699.6,301320.0,0.0,159699.6,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-13.0,1.0,2,Delivered - On Time,2020-12-01,2020,2020-12,2021,2021-Q1,2020-12-01,2020,2020-12,2021,2021-Q1,2020-02-27,2020,2020-02,2020,2020-Q2,2020-10-30,2020,2020-10,2021,2021-Q1,2020-11-15,2020,2020-11,2021,2021 Q1,2020-11-18,2020,2020-11,2021,2021-Q1,,,,2020-07-24,2020-07-27,2020-07-28,2020-08-21,2020,2020-08,2020,2020-Q4,2020-11-15,,,,,2020-11-18,,,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,24.0,,,,,SD000,No delay,ESTIMATED_DELIVERY_DATE,
990,RO10088250PO100142281,TO3,TO3,Congo DRC,RO10088250,PO10014228,PO10014228,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2C7,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,KGM             ,317MISSION,,,,,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Chongming county, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DAP,6.9,6.9,6000.0,41400.0,6000.0,0.0,41400.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,7.0,1.0,2,Delivered - On Time,2021-01-14,2021,2021-01,2021,2021-Q2,2021-01-14,2021,2021-01,2021,2021-Q2,2020-01-17,2020,2020-01,2020,2020-Q2,2020-11-30,2020,2020-11,2021,2021-Q1,2020-10-28,2020,2020-10,2021,2021 Q1,2021-01-21,2021,2021-01,2021,2021-Q2,,,2020-02-10,2020-02-26,2020-02-26,2020-02-27,2020-03-26,2020,2020-03,2020,2020-Q2,2020-07-02,2020-07-01,2020-07-21,,2020-08-06,2020-08-10,2020-08-10,2021-01-21,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,28.0,97.0,36.0,168.0,,SD000,AGAD added., ,
1652,RO10088245PO100144071,TO3,TO3,Congo DRC,RO10088245,PO10014407,PO10014407,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,100129GYV01S0AE,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,0.0005099999999999999,CBM,0.0625,KGM             ,317MISSION,,,,,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, The Netherlands",NL,"Merck, Sharp + Dohme B.V.",Netherlands,FCA,DAP,8.5,8.5,2088.0,17748.0,2088.0,0.0,17748.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-04-01,2021,2021-04,2021,2021-Q3,2021-01-15,2021,2021-01,2021,2021-Q2,2020-01-17,2020,2020-01,2020,2020-Q2,2020-04-01,2020,2020-04,2020,2020-Q3,2020-10-31,2020,2020-10,2021,2021 Q1,2021-01-15,2021,2021-01,2021,2021-Q2,,,2020-02-06,2020-03-10,2020-03-10,2020-03-12,2020-04-01,2020,2020-04,2020,2020-Q3,2020-08-14,2020-07-28,2020-08-11,,2020-08-28,2020-09-01,2020-09-01,2021-01-15,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,2.0,20.0,118.0,31.0,140.0,,AD012,"RDD was 4/1/2020; original ADD was 4/1/2021 due to the global shortage and allocation of NXT w/ CPG. Production for DRC was allocated earlier than initially planned and the waiver leadtime was shorter than usual, so PSM could deliver earlier.",AGREED_DELIVERY_DATE,-76.0
1869,RO10094123PO100163181,TO3,TO3,Bangladesh,RO10094123,PO10016318,PO10016318,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Other Non-Pharma,Medical Supplies,104353XUZ0JX33W,"Syringe, With Needle, 2 mL, 24G x 1.0 in, Auto-Disable, Sterile, Fixed Needle, Individually Packaged, 2400 Each                 ",CAS,Each,2400.0,0.14,CBM,11.0,KGM             ,317MISSION,,,,,N,Wuxi Yushou Medical Appliances Co.Ltd,"No. 215 Xigang Road, Dongbeitang, Wuxi City, Jiangsu Province, China 214191",CN,AMEX Import-Export GmbH,Austria,FCA,DAP,115.2,115.2,504.0,58060.8,504.0,0.0,58060.8,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-11-24,2020,2020-11,2021,2021-Q1,2020-12-02,2020,2020-12,2021,2021-Q1,2020-04-21,2020,2020-04,2020,2020-Q3,2020-08-28,2020,2020-08,2020,2020-Q4,2020-11-24,2020,2020-11,2021,2021 Q1,2020-12-02,2020,2020-12,2021,2021-Q1,,,,2020-06-24,2020-07-27,2020-07-28,2020-08-19,2020,2020-08,2020,2020-Q4,2020-08-10,,,,2020-11-06,,,2020-12-02,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,22.0,,,26.0,,AD050,"ADD was 11/24 GAD 8/26, it was adequate on the agreed importation&shipping procedure btw PSM-Mission-SMC. But came several challenges: change in dox requested; lost samples ; DGDA requested full registration; shipment delays",AGREED_DELIVERY_DATE,8.0
2354,RO10088244RO10088244_515,TO3,TO3,Congo DRC,RO10088244,RO10088244_5,RO10088244,15,Shipment Delivered,GSC,Distribution Order,RDC,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W04D,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,7.5e-05,CBM,0.00927,KGM             ,317MISSION,,,,,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.26,0.26,15840.0,4118.4,15840.0,0.0,4118.4,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-12-25,2020,2020-12,2021,2021-Q1,2020-12-03,2020,2020-12,2021,2021-Q1,2020-01-17,2020,2020-01,2020,2020-Q2,2020-12-01,2020,2020-12,2021,2021-Q1,2020-09-06,2020,2020-09,2020,2020 Q4,2020-12-03,2020,2020-12,2021,2021-Q1,,,,2020-03-13,2020-03-13,2020-03-20,2020-05-12,2020,2020-05,2020,2020-Q3,2020-05-15,,2020-06-25,,2020-07-09,2020-07-20,2020-07-20,2020-12-03,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,53.0,44.0,14.0,147.0,,AD012,"RDD was 12/1; original ADD was 12/25. The waiver leadtime was shorter than usual, so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-22.0
2709,RO10088244RO10088244_313,TO3,TO3,Congo DRC,RO10088244,RO10088244_3,RO10088244,13,Shipment Delivered,GSC,Distribution Order,RDC,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W04D,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,7.5e-05,CBM,0.00927,KGM             ,317MISSION,,,,,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.26,0.26,15840.0,4118.4,15840.0,0.0,4118.4,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-12-25,2020,2020-12,2021,2021-Q1,2020-12-03,2020,2020-12,2021,2021-Q1,2020-01-17,2020,2020-01,2020,2020-Q2,2020-12-01,2020,2020-12,2021,2021-Q1,2020-09-06,2020,2020-09,2020,2020 Q4,2020-12-03,2020,2020-12,2021,2021-Q1,,,,2020-03-13,2020-03-13,2020-03-20,2020-05-12,2020,2020-05,2020,2020-Q3,2020-05-15,,2020-06-25,,2020-07-09,2020-07-20,2020-07-20,2020-12-03,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,53.0,44.0,14.0,147.0,,AD012,"RDD was 12/1; original ADD was 12/25. The waiver leadtime was shorter than usual, so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-22.0
