,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Country Registration Status,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
409,RO101081821,,,Eswatini,RO10108182,,RO10108182,1,RFx Bid Evaluation,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100106AAA07G,"Darunavir 600 mg Tablet, 60 Tablets                                                                                             ",BOT,Tablet,60.0,,,,,,MSA-010,,,,,N,,,,,,,DDP,54.0,54.0,3462.0,186948.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 4, 2020",2020.0,2020-08,2020.0,2020-Q4,"Jan 1, 2021",2021.0,2021-01,2021.0,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2508,RO101061302,,,Eswatini,RO10106130,,RO10106130,2,Pending USAID Approval,GSC,,RDC,Air,Adult ARV,HIV/AIDS Pharmaceuticals,100106AAA07G2US,"Darunavir 600 mg Tablet, 60 Tablets                                                                                             ",BOT,Tablet,60.0,,,,,KGM             ,MSA-010,RDC Replenishment,Family Planning and Reproduction,PEPFAR-DREAMS,70.0,N,Janssen Ortho LLC,"State Rd 933 Km 0,1, Mamey Ward, Gurabo, Puerto Rico, United States 00788",US,"Janssen Therapeutics, Division of Janssen Products, LP",South Africa,,DDP,40.45,40.45,100.0,4045.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Jan 27, 2021",2021.0,2021-01,2021.0,2021-Q2,"Jan 30, 2021",2021.0,2021-01,2021.0,2021-Q2,,,,,,,,,,,,,,"Jan 27, 2021","Jan 27, 2021",,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4009,RO101081822,,,Eswatini,RO10108182,,RO10108182,2,RFx Bid Evaluation,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100044ABC07G,"Ritonavir 100 mg Film-Coated Tablet, 60 Tablets                                                                                 ",BOT,Tablet,60.0,,,,,,MSA-010,,,,,N,,,,,,,DDP,6.85,6.85,900.0,6165.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 4, 2020",2020.0,2020-08,2020.0,2020-Q4,"Jan 1, 2021",2021.0,2021-01,2021.0,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4230,RO101082801,,,Eswatini,RO10108280,,RO10108280,1,RFx Bid Evaluation,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100106AAA07G,"Darunavir 600 mg Tablet, 60 Tablets                                                                                             ",BOT,Tablet,60.0,,,,,,MSA-010,,,,,N,,,,,,,DDP,54.0,54.0,3462.0,186948.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 12, 2020",2020.0,2020-08,2020.0,2020-Q4,"Jan 1, 2021",2021.0,2021-01,2021.0,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4869,RO101083541,,,Eswatini,RO10108354,,RO10108354,1,Pending PSM Source Processing,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100106AAA07G,"Darunavir 600 mg Tablet, 60 Tablets                                                                                             ",BOT,Tablet,60.0,,,,,,MSA-010,,,,,N,,,,,,,DDP,54.0,54.0,3462.0,186948.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 18, 2020",2020.0,2020-08,2020.0,2020-Q4,"Jan 1, 2021",2021.0,2021-01,2021.0,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5840,RO101083561,,,Eswatini,RO10108356,,RO10108356,1,Pending PSM Source Processing,GSC,,Direct Drop,,Adult ARV,HIV/AIDS Pharmaceuticals,100044ABC07G,"Ritonavir 100 mg Film-Coated Tablet, 60 Tablets                                                                                 ",BOT,Tablet,60.0,,,,,,MSA-010,,,,,N,,,,,,,DDP,6.85,6.85,900.0,6165.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 18, 2020",2020.0,2020-08,2020.0,2020-Q4,"Jan 1, 2021",2021.0,2021-01,2021.0,2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
6871,RO101081752,,,Panama,RO10108175,,RO10108175,2,Pending PSM Source Processing,GSC,,Direct Drop,,COVID19,Respiratory Support,104790XUZ0B4,"(COVID-19) Adult Disposable Circuit, EMV+, AEV, Eagle II, 6 Ft., Single-Use [820-0106-15], 15 Each                              ",CAS,Each,15.0,,,,,,MSA-011,,,,,Y,,,,,,,DAP,168.19,168.19,14.0,2354.66,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 3, 2020",2020.0,2020-08,2020.0,2020-Q4,"Aug 4, 2020",2020.0,2020-08,2020.0,2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
7121,RO101212712,,,Angola,RO10121271,,RO10121271,2,Pending PSM Source Processing,GSC,,Direct Drop,,Laboratory,Laboratory Reagents,102037XUZ01S,"GeneXpert Xpert HIV-1/VL Assay, 10 Cartridges with Sample Reagent, 1 Unit                                                       ",BOX,Each,1.0,,,,,,,,MSA-014,,,N,,,,,,,DDP,149.0,149.0,30.0,4470.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"May 4, 2021",2021.0,2021-05,2021.0,2021-Q3,"Jun 1, 2021",2021.0,2021-06,2021.0,2021-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
14246,Replenishment OrdersIO100173443,OTHER,OTHER,Belgium,Replenishment Orders,IO10017344,IO10017344,3,Draft Order Created,GSC,Replenishment Order,Direct Drop,,Pediatric ARV,HIV/AIDS Pharmaceuticals,104216AAK07G3L6,"Dolutegravir 5 mg Dispersible Tablet, 60 Tablets                                                                                ",BOT,Tablet,60.0,,,,,KGM             ,,,,,,N,ViiV Healthcare,"Glaxo Operations UK Ltd, Priory Street, Ware SG120DJ, Released at Glaxo Wellcome S.A., Avenida Extremadura No.3, 09400, Aranda De Duero, Burgos, Spain,",ES,ViiV Healthcare,British Virgin Islands,,,0.0,0.0,33028.0,0.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Oct 30, 2020",2020.0,2020-10,2021.0,2021-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
14373,RO101212711,,,Angola,RO10121271,,RO10121271,1,Pending PSM Source Processing,GSC,,Direct Drop,,Laboratory,Laboratory Reagents,101028XUZ02X,"GeneXpert Xpert MTB/RIF Assay, 50 Cartridges with Sample Reagent, 1 Kit                                                         ",UNT,Kit,1.0,,,,,,,,MSA-014,,,N,,,,,,,DDP,499.0,499.0,40.0,19960.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"May 4, 2021",2021.0,2021-05,2021.0,2021-Q3,"Jun 1, 2021",2021.0,2021-06,2021.0,2021-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
14848,RO101081751,,,Panama,RO10108175,,RO10108175,1,Pending PSM Source Processing,GSC,,Direct Drop,,COVID19,Respiratory Support,104860XUZ01S,"(COVID-19) Model EMV + PORTABLE VENTILATOR, 731 SERIES - S. AMERICA [800-EVMP-01-23], 1 Each                                    ",UNT,Each,1.0,,,,,,MSA-011,,,,,Y,,,,,,,DAP,12191.69,12191.69,50.0,609584.5,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,"Aug 3, 2020",2020.0,2020-08,2020.0,2020-Q4,"Aug 4, 2020",2020.0,2020-08,2020.0,2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
