,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Country Registration Status,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
155,RO101231492,TO3,TO3,Tanzania,RO10123149,,RO10123149,2,Pending PSM Source Processing,GSC,,Direct Drop,,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,,,,,,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,,N,,,,,,,DAP,0.26,0.26,1029444.0,267655.44,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-04-27,2021.0,2021-04,2021.0,2021-Q3,2022-05-31,2022.0,2022-05,2022.0,2022-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
162,RO101231521,TO3,TO3,Tanzania,RO10123152,,RO10123152,1,Pending PSM Source Processing,GSC,,Direct Drop,,Injectable Contraceptives,Injectable Contraceptives,100125GPW01S,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, 1 Each                                             ",UNT,Each,1.0,,,,,,,Family Planning and Reproduction,Mission Commodity Funding,Population,,N,,,,,,,DAP,0.77,0.77,1094700.0,842919.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-04-27,2021.0,2021-04,2021.0,2021-Q3,2022-04-30,2022.0,2022-04,2022.0,2022-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1735,RO10106104PO100181081,TO3,TO3,Senegal,RO10106104,PO10018108,PO10018108,1,Order Released for Fulfillment,GSC,Purchase Order,Direct Drop,Air,Implantable Contraceptives,Contraceptive Implants,100129GYV01S3LS,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,,0.00038889,CBM,0.0625,KGM             ,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,301.0,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, Netherlands",NL,N.V. Organon,Netherlands,FCA,DAP,8.5,8.5,40176.0,341496.0,,0.0,,,,,,,,,,,,,0,Undelivered,2021-12-06,2021.0,2021-12,2022.0,2022-Q1,2022-02-06,2022.0,2022-02,2022.0,2022-Q2,2020-07-06,2020.0,2020-07,2020.0,2020-Q4,2021-11-30,2021.0,2021-11,2022.0,2022-Q1,2021-12-22,2021.0,2021-12,2022.0,2022 Q1,,,,,,,,2020-09-23,2021-01-26,2021-02-08,2021-02-08,2021-03-22,2021.0,2021-03,2021.0,2021-Q2,2021-09-15,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,138.0,0.0,42.0,,,,,AD020,"NXT is in global supply shortage (systemic lted production). Ldtime of this RO was calculated based on allocation made w/ CPG&MSD. MSD has experienced prod delays&updated their GAD. CPG updated several country allocations, incl for this RO.",AGREED_DELIVERY_DATE,62.0
1765,RO10097108PO100180941,TO3,TO3,Tanzania,RO10097108,PO10018094,PO10018094,1,Shipment Created,GSC,Purchase Order,Direct Drop,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W14K,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,,,,,KGM             ,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,217.0,N,Mylan Laboratories Limited,"Plot 1606 to 1609 G.I.D.C., Sarigam, India",IN,Mylan Laboratories Limited,India,FCA,DAP,0.21,0.21,1321488.0,277512.48,1321488.0,0.0,277512.48,,Y,,,,,,,,,1.0,0,Undelivered,2021-09-10,2021.0,2021-09,2021.0,2021-Q4,2021-09-10,2021.0,2021-09,2021.0,2021-Q4,2020-05-04,2020.0,2020-05,2020.0,2020-Q3,2021-07-31,2021.0,2021-07,2021.0,2021-Q4,2021-08-05,2021.0,2021-08,2021.0,2021 Q4,,,,,,,,2020-05-26,2021-01-29,2021-01-29,2021-02-05,2021-04-07,2021.0,2021-04,2021.0,2021-Q3,2021-05-10,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,248.0,7.0,61.0,,,,,SD000,no delay expected.,ESTIMATED_DELIVERY_DATE,
5286,RO101231951,TO3,TO3,Madagascar,RO10123195,,RO10123195,1,Pending PSM Source Processing,GSC,,Direct Drop,,Injectable Contraceptives,Injectable Contraceptives,100125GPW01S,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, 1 Each                                             ",UNT,Each,1.0,,,,,,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,,N,,,,,,,DAP,0.77,0.77,561500.0,432355.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-05-11,2021.0,2021-05,2021.0,2021-Q3,2021-07-30,2021.0,2021-07,2021.0,2021-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5332,RO101231952,TO3,TO3,Madagascar,RO10123195,,RO10123195,2,Pending PSM Source Processing,GSC,,Direct Drop,,Other Non-Pharma,Medical Supplies,103696XUZ09C,"Syringe, With Needle, 1 mL, 22G x 1.0 in, Auto-Disable, Sterile, Single Use, 100 Each                                           ",BOX,Each,100.0,,,,,,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,,N,,,,,,,DAP,5.0,5.0,5613.0,28065.0,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-05-11,2021.0,2021-05,2021.0,2021-Q3,2021-07-30,2021.0,2021-07,2021.0,2021-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5337,RO101231953,TO3,TO3,Madagascar,RO10123195,,RO10123195,3,Pending PSM Source Processing,GSC,,Direct Drop,,Other Non-Pharma,Medical Supplies,103753XUZ0B5,"Sharps Container, Cardboard, 5 L, White, Disposable, Water Resistant, 5 Each                                                    ",PKG,Each,5.0,,,,,,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,,N,,,,,,,DAP,2.25,2.25,1123.0,2526.75,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,2021-05-11,2021.0,2021-05,2021.0,2021-Q3,2021-07-30,2021.0,2021-07,2021.0,2021-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5930,RO10118281PO100184371,TO3,TO3,Zambia,RO10118281,PO10018437,PO10018437,1,Order Shipment Created,GSC,Purchase Order,Direct Drop,Air,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2CD,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,KGM             ,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,119.0,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Changzheng Farm, Chongming, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DDP,6.9,6.9,29500.0,203550.0,,0.0,,,,,,,,,,,,,0,Undelivered,2021-07-06,2021.0,2021-07,2021.0,2021-Q4,2021-07-06,2021.0,2021-07,2021.0,2021-Q4,2020-10-29,2020.0,2020-10,2021.0,2021-Q1,2021-05-31,2021.0,2021-05,2021.0,2021-Q3,2021-07-06,2021.0,2021-07,2021.0,2021 Q4,,,,,,,,2021-02-26,2021-03-05,2021-03-09,2021-03-09,2021-03-22,2021.0,2021-03,2021.0,2021-Q2,2021-04-28,2021-04-27,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,11.0,0.0,13.0,36.0,,,,SD000,No delays.,CHANGE_ORDER_DATE,
6256,RO10118234RO10118234_12,TO3,TO3,Nepal,RO10118234,RO10118234_1,RO10118234,2,Shipment Waiver Requested,GSC,Distribution Order,RDC,Air,Implantable Contraceptives,Contraceptive Implants,100130GYV01S08P,"Levonorgestrel 75 mg/Rod w/ Trocar, 5 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,0.00014199999999999998,CBM,0.0217,KGM             ,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,70.0,N,Bayer Schering Pharma Oy,"Pansiontie 47, FI-20210, Turku, Finland",FI,Bayer AG,Belgium,,DDP,8.5,8.5,2000.0,17000.0,2000.0,0.0,17000.0,,Y,,,,,,,,,1.0,0,Undelivered,2021-06-09,2021.0,2021-06,2021.0,2021-Q3,2021-06-09,2021.0,2021-06,2021.0,2021-Q3,2021-02-02,2021.0,2021-02,2021.0,2021-Q2,2021-03-01,2021.0,2021-03,2021.0,2021-Q2,2021-06-09,2021.0,2021-06,2021.0,2021 Q3,,,,,,,2021-02-04,,2021-03-30,2021-03-31,2021-03-31,2021-04-02,2021.0,2021-04,2021.0,2021-Q3,2021-04-06,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,2.0,,,,,,,,
6716,RO10105189RO10105189_12,TO3,TO3,Haiti,RO10105189,RO10105189_1,RO10105189,2,Shipment Waiver Requested,GSC,Distribution Order,RDC,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W04D,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,,7.5e-05,CBM,0.00927,KGM             ,,Family Planning and Reproduction,Mission Commodity Funding,Population TO3,91.0,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DDP,0.26,0.26,524880.0,136468.8,524880.0,0.0,136468.8,,Y,N,,,Not On Time In Full,,,Between 8 and 30,9.0,1.0,0,Undelivered - Late,2021-05-03,2021.0,2021-05,2021.0,2021-Q3,2021-05-03,2021.0,2021-05,2021.0,2021-Q3,2020-06-29,2020.0,2020-06,2020.0,2020-Q3,2021-02-15,2021.0,2021-02,2021.0,2021-Q2,2021-05-20,2021.0,2021-05,2021.0,2021 Q3,,,,,,,2020-10-07,,2021-01-25,2021-01-25,2021-02-01,2021-03-23,2021.0,2021-03,2021.0,2021-Q2,2021-03-26,,2021-03-26,,2021-04-23,2021-04-30,2021-04-30,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,110.0,7.0,50.0,3.0,28.0,,,,,,
