,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Country Registration Status,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
576,RO10098125PO100152681,TO3,TO3,Burundi,RO10098125,PO10015268,PO10015268,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Other Non-Pharma,Medical Supplies,103696XUZ09C289,"Syringe, With Needle, 1 mL, 22G x 1.0 in, Auto-Disable, Sterile, Single Use, 100 Each                                           ",BOX,Each,100.0,,,,,KGM             ,317MISSION,,,,182.0,N,"Wuxi Yushou Medical Appliances Co. Ltd. (Supplier, Missionpharma)","Wuxi Yushou Medical Appliances Co. Ltd. No. 215 Xigang Road, Dongbeitang Town, Wuxi City, Jiangsu Province, China",CN,Missionpharma A/S,,FCA,DDP,5.0,5.0,1840.0,9200.0,1840.0,0.0,9200.0,9799.12,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-11-26,2020.0,2020-11,2021.0,2021-Q1,2020-10-01,2020.0,2020-10,2021.0,2021-Q1,2020-05-08,2020.0,2020-05,2020.0,2020-Q3,2020-10-30,2020.0,2020-10,2021.0,2021-Q1,2020-09-12,2020.0,2020-09,2020.0,2020 Q4,2020-10-01,2020.0,2020-10,2021.0,2021-Q1,,,2020-05-12,2020-05-20,2020-05-28,2020-05-28,2020-07-09,2020.0,2020-07,2020.0,2020-Q4,2020-08-10,2020-07-24,2020-07-24,,2020-08-04,2020-08-10,2020-08-10,2020-10-01,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,42.0,15.0,11.0,58.0,,AD012,"original ADD was end of Nov, but products were needed asap in country to avoid stockout. MP could make supply available slightly earlier, and the importation waiver could be expedited in country",AGREED_DELIVERY_DATE,-56.0
801,RO10090151PO100164371,TO3,TO3,Angola,RO10090151,PO10016437,PO10016437,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.00011999999999999999,CBM,0.01845,KGM             ,317CORE,,,,133.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,CPT,0.695,0.695,560000.0,389200.0,560000.0,0.0,389200.0,34018.68,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,5.0,1.0,2,Delivered - On Time,2020-12-23,2020.0,2020-12,2021.0,2021-Q1,2020-12-23,2020.0,2020-12,2021.0,2021-Q1,2020-07-29,2020.0,2020-07,2020.0,2020-Q4,2020-11-18,2020.0,2020-11,2021.0,2021-Q1,2020-12-11,2020.0,2020-12,2021.0,2021 Q1,2020-12-28,2020.0,2020-12,2021.0,2021-Q1,,,2020-07-30,2020-07-31,2020-08-12,2020-08-12,2020-09-02,2020.0,2020-09,2020.0,2020-Q4,2020-09-14,2020-09-16,2020-09-17,,2020-09-28,2020-10-06,2020-10-06,2020-12-28,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,21.0,14.0,12.0,91.0,,SD000,"Despite COVID-19 challenges, Missionpharma met the GAD window",CHANGE_ORDER_DATE,
2533,RO10087123PO100147722,TO3,TO3,Madagascar,RO10087123,PO10014772,PO10014772,2,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Other Non-Pharma,Medical Supplies,103753XUZ0B529W,"Sharps Container, Cardboard, 5 L, White, Disposable, Water Resistant, 5 Each                                                    ",PKG,Each,5.0,,,,,KGM             ,317MISSION,,,,112.0,N,"Asean Box Corporation (Supplier, Missionpharma)","Survey No. 492/1, Vill. Mithirohar, Behind Eicher Show Room, Gandhidham, Gujarat, India",IN,Missionpharma A/S,,FCA,DAP,2.25,2.25,1800.0,4050.0,1800.0,0.0,4050.0,238.69,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-07-09,2020.0,2020-07,2020.0,2020-Q4,2020-07-09,2020.0,2020-07,2020.0,2020-Q4,2019-12-02,2019.0,2019-12,2020.0,2020-Q1,2020-03-31,2020.0,2020-03,2020.0,2020-Q2,2020-07-04,2020.0,2020-07,2020.0,2020 Q4,2020-07-09,2020.0,2020-07,2020.0,2020-Q4,,,2020-02-24,2020-03-11,2020-03-19,2020-03-19,2020-05-06,2020.0,2020-05,2020.0,2020-Q3,2020-04-20,2020-05-22,2020-05-27,,2020-06-05,2020-06-10,2020-06-10,2020-07-09,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,24.0,0.0,48.0,16.0,14.0,34.0,,SD020,Reprioritization of orders with MP due to high risk countries (specifically UG),CHANGE_ORDER_DATE,
4173,RO10076148PO100117791,TO3,TO3,Madagascar,RO10076148,PO10011779,PO10011779,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Other Non-Pharma,Medical Supplies,103753XUZ0B529W,"Sharps Container, Cardboard, 5 L, White, Disposable, Water Resistant, 5 Each                                                    ",PKG,Each,5.0,,,,,KGM             ,317CORE,,,,189.0,N,"Asean Box Corporation (Supplier, Missionpharma)","Survey No. 492/1, Vill. Mithirohar, Behind Eicher Show Room, Gandhidham, Gujarat, India",IN,Missionpharma A/S,,FCA,DAP,2.25,2.25,814.0,1831.5,814.0,0.0,1831.5,5891.88,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2019-12-04,2019.0,2019-12,2020.0,2020-Q1,2019-11-07,2019.0,2019-11,2020.0,2020-Q1,2019-05-16,2019.0,2019-05,2019.0,2019-Q3,2019-06-28,2019.0,2019-06,2019.0,2019-Q3,2019-11-03,2019.0,2019-11,2020.0,2020 Q1,2019-11-07,2019.0,2019-11,2020.0,2020-Q1,,,2019-05-16,2019-05-22,2019-05-29,2019-05-29,2019-07-01,2019.0,2019-07,2019.0,2019-Q4,2019-08-23,2019-08-26,2019-08-27,,2019-09-16,2019-09-19,2019-09-19,2019-11-07,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,33.0,56.0,21.0,52.0,,AD012,"the supplier could release production earlier than initially planned, and country is interested in getting products closer to the RDD.",AGREED_DELIVERY_DATE,-27.0
5303,RO10077152PO100120742,TO3,TO3,Burkina Faso,RO10077152,PO10012074,PO10012074,2,Shipment Delivered,GSC,Purchase Order,Direct Drop,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.00011999999999999999,CBM,0.01845,KGM             ,317MISSION,,,,182.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,DDP,0.6825,0.69,35000.0,23887.5,35000.0,0.0,23887.5,10482.06,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-8.0,1.0,2,Delivered - On Time,2020-01-07,2020.0,2020-01,2020.0,2020-Q2,2019-11-30,2019.0,2019-11,2020.0,2020-Q1,2019-06-04,2019.0,2019-06,2019.0,2019-Q3,2019-09-30,2019.0,2019-09,2019.0,2019-Q4,2019-11-18,2019.0,2019-11,2020.0,2020 Q1,2019-11-22,2019.0,2019-11,2020.0,2020-Q1,,,2019-06-20,2019-07-01,2019-07-09,2019-07-09,2019-07-30,2019.0,2019-07,2019.0,2019-Q4,2019-10-21,2019-10-18,2019-10-22,,2019-11-07,2020-11-14,2020-11-14,2019-11-22,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,0.0,21.0,80.0,20.0,15.0,,AD012,"RDD is 9/2019, original ADD was 1/2020, but initial ADD/leadtime was driven by an extensive leadtime for the importation authorization (IA), but the country requested an expedited IA, and other approvals and customs clearance have come faster than usual.",AGREED_DELIVERY_DATE,-366.0
5563,RO10089244PO100152141,TO3,TO3,Madagascar,RO10089244,PO10015214,PO10015214,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPA08P27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, SR, 1 Vial                                                        ",UNT,Vial,1.0,,5e-05,CBM,0.00869,KGM             ,317MISSION,,,,147.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,DAP,0.695,0.7,700000.0,486500.0,700000.0,0.0,486500.0,15827.0,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-10-23,2020.0,2020-10,2021.0,2021-Q1,2020-09-14,2020.0,2020-09,2020.0,2020-Q4,2020-02-09,2020.0,2020-02,2020.0,2020-Q2,2020-09-03,2020.0,2020-09,2020.0,2020-Q4,2020-09-09,2020.0,2020-09,2020.0,2020 Q4,2020-09-14,2020.0,2020-09,2020.0,2020-Q4,,,2020-02-24,2020-05-22,2020-05-29,2020-05-29,2020-07-10,2020.0,2020-07,2020.0,2020-Q4,2020-07-13,2020-07-08,2020-07-13,,2020-07-24,2020-08-01,2020-08-01,2020-09-14,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,95.0,0.0,42.0,-2.0,16.0,52.0,,AD012,"""Needed asap in country.RDD is 9/3/2020, original ADD was 10/23/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD""",AGREED_DELIVERY_DATE,-39.0
5774,RO10108301PO100175311,TO3,TO3,Angola,RO10108301,PO10017531,PO10017531,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.00011999999999999999,CBM,0.01845,KGM             ,317MISSION,,,,140.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,CPT,0.7759999999999999,0.78,282000.0,218832.0,282000.0,0.0,218832.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-1.0,1.0,2,Delivered - On Time,2021-04-09,2021.0,2021-04,2021.0,2021-Q3,2021-04-09,2021.0,2021-04,2021.0,2021-Q3,2020-08-13,2020.0,2020-08,2020.0,2020-Q4,2021-01-25,2021.0,2021-01,2021.0,2021-Q2,2021-03-28,2021.0,2021-03,2021.0,2021 Q2,2021-04-08,2021.0,2021-04,2021.0,2021-Q3,,,2020-10-09,2020-11-02,2020-11-17,2020-11-19,2020-12-08,2020.0,2020-12,2021.0,2021-Q1,2020-12-22,,2020-12-23,,2021-01-19,2021-01-25,2021-01-25,2021-04-08,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,39.0,2.0,19.0,,,79.0,,SD000,Admin error - CGAD expected on time,CHANGE_ORDER_DATE,
6470,RO10089244PO100152131,TO3,TO3,Madagascar,RO10089244,PO10015213,PO10015213,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Other Non-Pharma,Medical Supplies,103696XUZ09C289,"Syringe, With Needle, 1 mL, 22G x 1.0 in, Auto-Disable, Sterile, Single Use, 100 Each                                           ",BOX,Each,100.0,,,,,KGM             ,317MISSION,,,,147.0,N,"Wuxi Yushou Medical Appliances Co. Ltd. (Supplier, Missionpharma)","Wuxi Yushou Medical Appliances Co. Ltd. No. 215 Xigang Road, Dongbeitang Town, Wuxi City, Jiangsu Province, China",CN,Missionpharma A/S,,FCA,DAP,5.0,5.0,7000.0,35000.0,7000.0,0.0,35000.0,8404.65,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-10-23,2020.0,2020-10,2021.0,2021-Q1,2020-09-14,2020.0,2020-09,2020.0,2020-Q4,2020-02-09,2020.0,2020-02,2020.0,2020-Q2,2020-09-03,2020.0,2020-09,2020.0,2020-Q4,2020-09-09,2020.0,2020-09,2020.0,2020 Q4,2020-09-14,2020.0,2020-09,2020.0,2020-Q4,,,2020-02-24,2020-05-22,2020-05-29,2020-05-29,2020-07-10,2020.0,2020-07,2020.0,2020-Q4,2020-07-13,2020-07-08,2020-07-13,,2020-07-27,2020-08-01,2020-08-01,2020-09-14,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,95.0,0.0,42.0,-2.0,19.0,49.0,,AD012,"""Needed asap in country.RDD is 9/3/2020, original ADD was 10/23/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD""",AGREED_DELIVERY_DATE,-39.0
7461,RO10084357PO100139291,TO3,TO3,Zambia,RO10084357,PO10013929,PO10013929,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.00011999999999999999,CBM,0.01845,KGM             ,317MISSION,,,,161.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,DDP,0.7759999999999999,0.78,437000.0,339112.0,437000.0,0.0,339112.0,24110.0,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-6.0,1.0,2,Delivered - On Time,2020-07-15,2020.0,2020-07,2020.0,2020-Q4,2020-07-15,2020.0,2020-07,2020.0,2020-Q4,2019-11-14,2019.0,2019-11,2020.0,2020-Q1,2020-07-15,2020.0,2020-07,2020.0,2020-Q4,2020-06-27,2020.0,2020-06,2020.0,2020 Q3,2020-07-09,2020.0,2020-07,2020.0,2020-Q4,,,,2020-01-29,2020-01-29,2020-01-30,2020-03-09,2020.0,2020-03,2020.0,2020-Q2,2020-04-13,2020-04-07,2020-04-07,,2020-04-27,2020-05-03,2020-05-03,2020-07-09,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,39.0,29.0,20.0,73.0,,SD001,Missionpharma worked to expedite documents to allow PSM additional time to mitigate shipping delays due to Covid-19,CHANGE_ORDER_DATE,
7579,RO10097102PO100160501,TO3,TO3,Tanzania,RO10097102,PO10016050,PO10016050,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPW01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, 1 Each                                             ",UNT,Each,1.0,,,,,KGM             ,317MISSION,,,,245.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,DAP,0.7715,0.78,1485500.0,1146063.25,1485500.0,0.0,1146063.25,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-03-03,2021.0,2021-03,2021.0,2021-Q2,2021-04-14,2021.0,2021-04,2021.0,2021-Q3,2020-05-04,2020.0,2020-05,2020.0,2020-Q3,2021-02-28,2021.0,2021-02,2021.0,2021-Q2,2021-02-22,2021.0,2021-02,2021.0,2021 Q2,2021-04-14,2021.0,2021-04,2021.0,2021-Q3,,,,2020-06-29,2020-07-01,2020-07-01,2020-09-15,2020.0,2020-09,2020.0,2020-Q4,2020-11-23,,2020-11-20,,2020-12-14,2020-12-21,2020-12-21,2021-04-14,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,76.0,,,121.0,,AD050,"correcting ADD. Original ADD 3/3, RO was tracking on time thru arrival in country-2/22. But TMARC paid VAT+6% customs fee+0.25% TMDA fee only in April",AGREED_DELIVERY_DATE,-28489.0
