,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Country Registration Status,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
691,RO10088245PO100144041,TO3,TO3,Congo DRC,RO10088245,PO10014404,PO10014404,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,100129GYV01S0AE,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,,0.0005099999999999999,CBM,0.0625,KGM             ,317MISSION,,,,385.0,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, The Netherlands",NL,"Merck, Sharp + Dohme B.V.",Netherlands,FCA,DAP,8.5,8.5,5040.0,42840.0,5040.0,0.0,42840.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-04-01,2021.0,2021-04,2021.0,2021-Q3,2021-01-19,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-10-31,2020.0,2020-10,2021.0,2021 Q1,2021-01-19,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-06,2020-03-10,2020-03-10,2020-03-12,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-08-14,2020-07-20,2020-08-11,,2020-08-28,2020-09-01,2020-09-01,2021-01-19,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,2.0,20.0,110.0,39.0,144.0,,AD012,"RDD was 4/1/2020; original ADD was 4/1/2021 due to the global shortage and allocation of NXT w/ CPG. Production for DRC was allocated earlier than initially planned and the waiver leadtime was shorter than usual, so PSM could deliver earlier.",AGREED_DELIVERY_DATE,-72.0
841,RO10109121RO10109121_12,TO3,TO3,Malawi,RO10109121,RO10109121_1,RO10109121,2,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100031GNE06D03X,"Depot (SC) Medroxyprogesterone Acetate 104 mg/0.65 mL, Pre-Filled Uniject Device, 1 Syringe                                     ",UNT,Syringe,1.0,,7.5e-05,CBM,0.00521,KGM             ,317MISSION,,,,119.0,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DDP,0.85,0.85,16000.0,13600.0,16000.0,0.0,13600.0,,Y,N,N,N,Not On Time In Full,Not On Time In Full,Not On Time In Full,<-14,-37.0,1.0,2,Delivered - Early,2021-05-27,2021.0,2021-05,2021.0,2021-Q3,2021-05-27,2021.0,2021-05,2021.0,2021-Q3,2020-08-31,2020.0,2020-08,2020.0,2020-Q4,2020-12-01,2020.0,2020-12,2021.0,2021-Q1,2021-04-16,2021.0,2021-04,2021.0,2021 Q3,2021-04-20,2021.0,2021-04,2021.0,2021-Q3,,,,2020-12-09,2021-01-25,2021-01-28,2021-03-19,2021.0,2021-03,2021.0,2021-Q2,2021-03-24,,2021-03-30,,2021-04-13,2021-04-14,2021-04-14,2021-04-20,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,50.0,11.0,14.0,7.0,,,,,
891,RO10092109PO100172601,TO3,TO3,Bangladesh,RO10092109,PO10017260,PO10017260,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Land,Injectable Contraceptives,Injectable Contraceptives,100125GPA08P32Y,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, SR, 1 Vial                                                        ",UNT,Vial,1.0,,5e-05,CBM,0.0125,KGM             ,317MISSION,,,,140.0,N,Incepta Pharmaceuticals Ltd,"Unit 1, Injectable Potent Drug (IPD) Krishnapura, Sahabelishor, Dhamrai, Dhaka, Bangladesh",BD,Incepta Pharmaceuticals Ltd,Bangladesh,DDP,DAP,0.53,0.53,599400.0,317682.0,599400.0,0.0,317682.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-9.0,1.0,2,Delivered - On Time,2021-03-10,2021.0,2021-03,2021.0,2021-Q2,2021-03-10,2021.0,2021-03,2021.0,2021-Q2,2020-02-27,2020.0,2020-02,2020.0,2020-Q2,2021-02-15,2021.0,2021-02,2021.0,2021-Q2,2021-03-10,2021.0,2021-03,2021.0,2021 Q2,2021-03-01,2021.0,2021-03,2021.0,2021-Q2,,,,2020-10-20,2020-10-21,2020-10-21,2021-01-22,2021.0,2021-01,2021.0,2021-Q2,2021-02-24,2021-02-24,,,,2021-03-10,,,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,93.0,33.0,,,,SD000,Goods made available and delivered on time,CHANGE_ORDER_DATE,
1505,RO10088250PO100142201,TO3,TO3,Congo DRC,RO10088250,PO10014220,PO10014220,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2C7,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,KGM             ,317MISSION,,,,322.0,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Chongming county, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DAP,6.9,6.9,5000.0,34500.0,5000.0,0.0,34500.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,7.0,1.0,2,Delivered - On Time,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-11-30,2020.0,2020-11,2021.0,2021-Q1,2020-10-28,2020.0,2020-10,2021.0,2021 Q1,2021-01-21,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-10,2020-02-26,2020-02-26,2020-02-27,2020-03-26,2020.0,2020-03,2020.0,2020-Q2,2020-07-02,2020-07-01,2020-07-23,,2020-08-06,2020-08-10,2020-08-10,2021-01-21,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,28.0,97.0,36.0,168.0,,SD000,AGAD updated., ,
1810,RO10102190PO100160961,TO3,TO3,Ghana,RO10102190,PO10016096,PO10016096,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOC09W04C,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (SM), 1 Cycle                                          ",UNT,Cycle,1.0,,7e-05,CBM,0.02136,KGM             ,317MISSION,,,,203.0,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Germany,FCA,DDP,0.26,0.26,1440000.0,374400.0,1440000.0,0.0,374400.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-02-01,2021.0,2021-02,2021.0,2021-Q2,2021-03-27,2021.0,2021-03,2021.0,2021-Q2,2020-06-03,2020.0,2020-06,2020.0,2020-Q3,2020-12-31,2020.0,2020-12,2021.0,2021-Q1,2021-03-16,2021.0,2021-03,2021.0,2021 Q2,2021-03-27,2021.0,2021-03,2021.0,2021-Q2,,,2020-06-04,2020-06-19,2020-06-24,2020-07-13,2020-08-05,2020.0,2020-08,2020.0,2020-Q4,2020-11-30,2020-12-02,2020-12-02,,2021-02-09,2021-02-16,2021-02-16,2021-03-27,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,19.0,23.0,119.0,69.0,46.0,,AD070,"This order was impacted by covid-19 (logistics), ADD is aligned with actual delivery date.",AGREED_DELIVERY_DATE,54.0
2064,RO10088250PO100142251,TO3,TO3,Congo DRC,RO10088250,PO10014225,PO10014225,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2C7,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,KGM             ,317MISSION,,,,322.0,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Chongming county, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DAP,6.9,6.9,4000.0,27600.0,4000.0,0.0,27600.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2021-01-22,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-11-30,2020.0,2020-11,2021.0,2021-Q1,2020-10-28,2020.0,2020-10,2021.0,2021 Q1,2021-01-22,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-10,2020-02-26,2020-02-26,2020-02-27,2020-03-26,2020.0,2020-03,2020.0,2020-Q2,2020-07-02,2020-07-01,2020-07-21,,2020-08-06,2020-08-10,2020-08-10,2021-01-22,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,28.0,97.0,36.0,169.0,,AD060,"original ADD 1/14. shipment arrived in DRC 10/28, importation waiver received 11/13, customs clearance done 12/11, so tracking on time. But new processes for customs clearance were implemented in Sept, resulting in delayed port release until 1/15.",AGREED_DELIVERY_DATE,8.0
2344,RO10087285RO10087285_12,TO3,TO3,Rwanda,RO10087285,RO10087285_1,RO10087285,2,Shipment Delivered,GSC,Distribution Order,RDC,Air,Implantable Contraceptives,Contraceptive Implants,100130GYV01S08P,"Levonorgestrel 75 mg/Rod w/ Trocar, 5 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,0.00014199999999999998,CBM,0.0217,KGM             ,317MISSION,,,,63.0,N,Bayer Schering Pharma Oy,"Pansiontie 47, FI-20210, Turku, Finland",FI,Bayer AG,Belgium,,DDP,8.5,8.5,37200.0,316200.0,37200.0,0.0,316200.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-09-30,2020.0,2020-09,2020.0,2020-Q4,2021-03-29,2021.0,2021-03,2021.0,2021-Q2,2019-12-20,2019.0,2019-12,2020.0,2020-Q1,2020-09-30,2020.0,2020-09,2020.0,2020-Q4,2021-03-28,2021.0,2021-03,2021.0,2021 Q2,2021-03-29,2021.0,2021-03,2021.0,2021-Q2,,,,2020-02-05,2020-02-06,2020-02-06,2021-02-11,2021.0,2021-02,2021.0,2021-Q2,2021-02-16,,2021-03-06,,2021-03-18,2021-03-22,2021-03-22,2021-03-29,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,371.0,23.0,12.0,11.0,,AD012,"RDD is 9/30/2020, original ADD was 4/30. The shipment was expedited according to PSM leadership directive, waiver leadtime was shorter than usual, so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-32.0
2366,RO10082137RO10082137_126,TO3,TO3,Congo DRC,RO10082137,RO10082137_1,RO10082137,26,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,203.0,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,6000.0,5280.0,6000.0,0.0,5280.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2020-04-28,2020.0,2020-04,2020.0,2020-Q3,2020-03-05,2020.0,2020-03,2020.0,2020-Q2,2019-09-10,2019.0,2019-09,2019.0,2019-Q4,2019-12-31,2019.0,2019-12,2020.0,2020-Q1,2020-02-15,2020.0,2020-02,2020.0,2020 Q2,2020-03-05,2020.0,2020-03,2020.0,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019.0,2019-10,2020.0,2020-Q1,2019-10-16,,2019-10-16,,2020-02-06,2020-02-13,2020-02-13,2020-03-05,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,7.0,113.0,28.0,,AD012,"RDD is 12/31/2019, ADD was 4/28; the waiver was received earlier than expected so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-54.0
2642,RO10088250PO100142222,TO3,TO3,Congo DRC,RO10088250,PO10014222,PO10014222,2,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2C7,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,KGM             ,317MISSION,,,,322.0,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Chongming county, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DAP,6.9,6.9,1000.0,6900.0,1000.0,0.0,6900.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2021-01-22,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-11-30,2020.0,2020-11,2021.0,2021-Q1,2020-10-28,2020.0,2020-10,2021.0,2021 Q1,2021-01-22,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-10,2020-02-26,2020-02-26,2020-02-27,2020-03-26,2020.0,2020-03,2020.0,2020-Q2,2020-07-02,2020-07-01,2020-07-21,,2020-08-06,2020-08-10,2020-08-10,2021-01-22,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,28.0,97.0,36.0,169.0,,AD060,"original ADD 1/14. shipment arrived in DRC 10/28, importation waiver received 11/13, customs clearance done 12/11, so tracking on time. But new processes for customs clearance were implemented in Sept, resulting in delayed port release until 1/15.",AGREED_DELIVERY_DATE,8.0
3153,RO10102190PO100160963,TO3,TO3,Ghana,RO10102190,PO10016096,PO10016096,3,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOC09W04C,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (SM), 1 Cycle                                          ",UNT,Cycle,1.0,,7e-05,CBM,0.02136,KGM             ,317MISSION,,,,84.0,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Germany,FCA,DDP,0.26,0.26,849600.0,220896.0,849600.0,0.0,220896.0,,Y,N,N,N,Not On Time In Full,Not On Time In Full,Not On Time In Full,>30,51.0,1.0,2,Delivered - Late,2020-10-05,2020.0,2020-10,2021.0,2021-Q1,2020-10-05,2020.0,2020-10,2021.0,2021-Q1,2020-06-03,2020.0,2020-06,2020.0,2020-Q3,2020-08-31,2020.0,2020-08,2020.0,2020-Q4,2020-10-17,2020.0,2020-10,2021.0,2021 Q1,2020-11-25,2020.0,2020-11,2021.0,2021-Q1,,,2020-06-04,2020-06-19,2020-06-24,2020-07-13,2020-08-05,2020.0,2020-08,2020.0,2020-Q4,2020-07-31,2020-07-31,2020-08-05,,2020-09-10,2020-09-13,2020-09-13,2020-11-25,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,19.0,23.0,-5.0,41.0,76.0,,,,,
